Date,Raw Symbol,symbol,Allocated,Quality,exchange,entry1,entry2,entry3,DA Enabled,DA legs,DA E1 Buyback,DA E2 Buyback,DA E3 Buyback,DATriggerOffset,Last Updated
3-Nov-25,544186,544186,30000,,BSE,175,165,159,Y,1,3,3,5,1,5-May-25
3-Oct-25,aadharhfc,AADHARHFC,30000,OK,NSE,510,500,492,Y,1,3,3,5,1,5-May-25
5-Sep-25,ACE,ACE,30000,Good,NSE,1040,982,955,Y,1,3,3,5,1,5-May-25
3-Oct-25,ACMESOLAR,ACMESOLAR,30000,OK,NSE,275,269,262,Y,1,3,3,5,1,5-May-25
13-Jun-25,nse:agarind,AGARIND,1,OK,NSE,920,910,900,Y,1,3,3,5,1,5-May-25
7-Nov-25,AMJLAND,AMJLAND,1,,NSE,53,52,47,Y,1,3,3,5,1,5-May-25
3-Oct-25,awfis,AWFIS,1,Excellent,NSE,565,559,545,Y,1,3,3,5,1,5-May-25
4-Nov-25,AZAD,AZAD,1,,NSE,1525,1485,1455,Y,1,3,3,5,1,5-May-25
6-Nov-25,nse:BBL,BBL,1,,NSE,2935,2890,2822,Y,1,3,3,5,1,5-May-25
5-Nov-25,NSE:BDL,BDL,1,,NSE,1480,1435,1410,Y,1,3,3,5,1,5-May-25
3-Oct-25,BEL,BEL,1,Excellent,NSE,385,375,365,Y,1,3,3,5,1,5-May-25
3-Nov-25,BHEL,BHEL,30000,,NSE,225,214,199,Y,1,3,3,5,1,5-May-25
23-Jun-25,BMW,BMW,30000,OK,BSE,42,41,38,Y,1,3,3,5,1,11-Nov-25
5-May-25,BODALCHEM,BODALCHEM,30000,Good,NSE,62,58,50,Y,1,3,3,5,1,11-Nov-25
2-Jun-25,CAPITALSFB,CAPITALSFB,30000,Excellent,NSE,282,272,255,Y,1,3,3,5,1,11-Nov-25
21-Jul-25,centralbk,CENTRALBK,1,Good,NSE,36,34,33,Y,1,3,3,5,1,
2-Jun-25,CMSINFO,CMSINFO,1,,NSE,465,455,430,Y,1,3,3,5,1,
2-Jun-25,COALINDIA,COALINDIA,2,,NSE,350,350,350,Y,1,3,3,5,1,
3-Oct-25,DBEIL,DBEIL,30000,Bad,NSE,160,155,151,Y,1,3,3,5,1,
11-Sep-25,deedev,DEEDEV,30000,Good,NSE,272,263,258.5,Y,1,3,3,5,1,
2-Sep-25,epigral,EPIGRAL,10000,Excellent,NSE,1700,,,Y,1,3,3,5,1,
3-Nov-25,federalbnk,FEDERALBNK,1,,NSE,234,,,Y,1,3,3,5,1,
2-Jun-25,FINPIPE,FINPIPE,30000,Good,NSE,187,183,178,Y,1,3,3,5,1,11-Nov-25
3-Oct-25,FIVESTAR,FIVESTAR,1,OK,NSE,525,508,495,Y,1,3,3,5,1,
3-Oct-25,GAIL,GAIL,1,Excellent,NSE,165,160,155,Y,1,3,3,5,1,
1-Jul-25,GOACARBON,GOACARBON,1,Bad,BSE,493,485,470,Y,1,3,3,5,1,
1-Jul-25,GULFOILLUB,GULFOILLUB,1,Excellent,NSE,1150,1055,998,Y,1,3,3,5,1,
1-Aug-25,hcltech,HCLTECH,1,Good,NSE,1440,1410,1355,Y,1,3,3,5,1,
23-Jun-25,IGIL,IGIL,1,OK,NSE,363,353,343,Y,1,3,3,5,1,
3-Nov-25,IGPL,IGPL,30000,,NSE,412,400,390,Y,1,3,3,5,1,
